Query	Annotation	Similarity_Score	Status
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|P66059|RL11_STRP8 Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M18 (strain MGAS8232) OX=186103 GN=rplK PE=3 SV=1	1.0	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A3CPA6|RL11_STRSV Large ribosomal subunit protein uL11 OS=Streptococcus sanguinis (strain SK36) OX=388919 GN=rplK PE=3 SV=1	0.9992201328277588	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|C1CQB5|RL11_STRZT Large ribosomal subunit protein uL11 OS=Streptococcus pneumoniae (strain Taiwan19F-14) OX=487213 GN=rplK PE=3 SV=1	0.9990779161453247	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q31U14|RL11_SHIBS Large ribosomal subunit protein uL11 OS=Shigella boydii serotype 4 (strain Sb227) OX=300268 GN=rplK PE=3 SV=3	0.996940016746521	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|C1FMW3|RL11_CLOBJ Large ribosomal subunit protein uL11 OS=Clostridium botulinum (strain Kyoto / Type A2) OX=536232 GN=rplK PE=3 SV=1	0.996311366558075	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|B1IGG6|RL11_CLOBK Large ribosomal subunit protein uL11 OS=Clostridium botulinum (strain Okra / Type B1) OX=498213 GN=rplK PE=3 SV=1	0.996311366558075	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q62GJ3|RL11_BURMA Large ribosomal subunit protein uL11 OS=Burkholderia mallei (strain ATCC 23344) OX=243160 GN=rplK PE=3 SV=1	0.9959704875946045	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A3PV33|RL11_MYCSJ Large ribosomal subunit protein uL11 OS=Mycobacterium sp. (strain JLS) OX=164757 GN=rplK PE=3 SV=1	0.995886504650116	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q39Y17|RL11_GEOMG Large ribosomal subunit protein uL11 OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=rplK PE=3 SV=1	0.9958376288414001	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|B8D0B2|RL11_HALOH Large ribosomal subunit protein uL11 OS=Halothermothrix orenii (strain H 168 / OCM 544 / DSM 9562) OX=373903 GN=rplK PE=3 SV=1	0.9957106113433838	success
