Query	Annotation	Similarity_Score	Status
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	1.0	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|C1CQB5|RL11_STRZT Large ribosomal subunit protein uL11 OS=Streptococcus pneumoniae (strain Taiwan19F-14) OX=487213 GN=rplK PE=3 SV=1	0.9989657998085022	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|B3WA09|RL11_LACCB Large ribosomal subunit protein uL11 OS=Lacticaseibacillus casei (strain BL23) OX=543734 GN=rplK PE=3 SV=1	0.9946454167366028	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q9K1J3|RL11_NEIMB Large ribosomal subunit protein uL11 OS=Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58) OX=122586 GN=rplK PE=3 SV=1	0.9796264171600342	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A1KRG2|RL11_NEIMF Large ribosomal subunit protein uL11 OS=Neisseria meningitidis serogroup C / serotype 2a (strain ATCC 700532 / DSM 15464 / FAM18) OX=272831 GN=rplK PE=3 SV=1	0.9794723987579346	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|B8HD25|RL11_PSECP Large ribosomal subunit protein uL11 OS=Pseudarthrobacter chlorophenolicus (strain ATCC 700700 / DSM 12829 / CIP 107037 / JCM 12360 / KCTC 9906 / NCIMB 13794 / A6) OX=452863 GN=rplK PE=3 SV=1	0.9782285094261169	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|B2A4C6|RL11_NATTJ Large ribosomal subunit protein uL11 OS=Natranaerobius thermophilus (strain ATCC BAA-1301 / DSM 18059 / JW/NM-WN-LF) OX=457570 GN=rplK PE=3 SV=1	0.9683098196983337	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q7WRE3|RL11_BORBR Large ribosomal subunit protein uL11 OS=Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50) OX=257310 GN=rplK PE=3 SV=1	0.9633802175521851	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A9KJM0|RL11_LACP7 Large ribosomal subunit protein uL11 OS=Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) OX=357809 GN=rplK PE=3 SV=1	0.9494583010673523	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|C4KZP7|RS10_EXISA Small ribosomal subunit protein uS10 OS=Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b) OX=360911 GN=rpsJ PE=3 SV=1	0.943879246711731	success
